날짜,빈도수
2020-04-01,29
2020-04-02,47
2020-04-03,33
2020-04-04,40
2020-04-05,45
2020-04-06,46
2020-04-07,23
2020-04-08,20
2020-04-09,23
2020-04-10,63
2020-04-11,32
2020-04-12,58
2020-04-13,59
2020-04-14,72
2020-04-15,39
2020-04-16,59
2020-04-17,45
2020-04-18,54
2020-04-19,85
2020-04-20,40
2020-04-21,65
2020-04-22,44
2020-04-23,46
2020-04-24,83
2020-04-25,43
2020-04-26,48
2020-04-27,62
2020-04-28,88
2020-04-29,97
2020-04-30,19
2020-05-01,65
2020-05-02,62
2020-05-03,84
2020-05-04,48
2020-05-05,83
2020-05-06,90
2020-05-07,76
2020-05-08,93
2020-05-09,91
2020-05-10,92
2020-05-11,68
2020-05-12,63
2020-05-13,75
2020-05-14,78
2020-05-15,91
2020-05-16,100
2020-05-17,61
2020-05-18,75
2020-05-19,55
2020-05-20,71
2020-05-21,49
2020-05-22,57
2020-05-23,55
2020-05-24,72
2020-05-25,61
2020-05-26,61
2020-05-27,45
2020-05-28,46
2020-05-29,61
2020-05-30,89
2020-05-31,57
2020-06-01,48
2020-06-02,39
2020-06-03,64
2020-06-04,39
2020-06-05,35
2020-06-06,52
2020-06-07,70
2020-06-08,36
2020-06-09,70
2020-06-10,30
